db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
RocksDB,range,10,408,40.8,24509.80392156863
RocksDB,put,1000,6339,6.339,157753.58889414734
RocksDB,get,100,584,5.84,171232.87671232878
RocksDB,delete,10,130,13,76923.07692307692
RocksDB,range,10,373,37.3,26809.651474530834
RocksDB,put,1000,6547,6.547,152741.7137620284
RocksDB,get,100,599,5.99,166944.9081803005
RocksDB,delete,10,131,13.1,76335.87786259543
RocksDB,range,10,386,38.6,25906.735751295335
RocksDB,put,1000,6675,6.675,149812.73408239702
RocksDB,get,100,613,6.13,163132.1370309951
RocksDB,delete,10,149,14.9,67114.09395973154
RocksDB,range,10,384,38.4,26041.666666666668
RocksDB,put,1000,7225,7.225,138408.3044982699
RocksDB,get,100,658,6.58,151975.6838905775
RocksDB,delete,10,143,14.3,69930.06993006992
RocksDB,range,10,421,42.1,23752.96912114014
RocksDB,put,1000,7867,7.867,127113.2579128003
RocksDB,get,100,723,7.23,138312.58644536653
RocksDB,delete,10,165,16.5,60606.06060606061
RocksDB,range,10,450,45,22222.222222222223
RocksDB,put,1000,7619,7.619,131250.820317627
RocksDB,get,100,708,7.08,141242.93785310735
RocksDB,delete,10,163,16.3,61349.69325153374
RocksDB,range,10,434,43.4,23041.474654377882
RocksDB,put,1000,7216,7.216,138580.9312638581
RocksDB,get,100,704,7.04,142045.45454545456
RocksDB,delete,10,153,15.3,65359.477124183
RocksDB,range,10,405,40.5,24691.35802469136
RocksDB,put,1000,6465,6.465,154679.04098994588
RocksDB,get,100,614,6.14,162866.44951140066
RocksDB,delete,10,133,13.3,75187.96992481203
RocksDB,range,10,381,38.1,26246.719160104985
RocksDB,put,1000,7435,7.435,134498.99125756556
RocksDB,get,100,680,6.8,147058.82352941178
RocksDB,delete,10,152,15.2,65789.47368421053
RocksDB,range,10,425,42.5,23529.41176470588
RocksDB,put,1000,7956,7.956,125691.30216189039
RocksDB,get,100,770,7.7,129870.12987012987
RocksDB,delete,10,162,16.2,61728.3950617284
RocksDB,range,10,451,45.1,22172.949002217294
RocksDB,put,1000,7785,7.785,128452.15157353885
RocksDB,get,100,724,7.24,138121.54696132595
